name,role,iplTeam,rankingScore
Virat Kohli,Batsman,BNG,1
Suryakumar Yadav,Batsman,MUM,2
KL Rahul,Wicket Keeper,LUK,3
Rashid Khan,All-Rounder,GJT,4
Glenn Maxwell,All-Rounder,BNG,5
David Warner,Batsman,DEC,6
Jasprit Bumrah,Bowler,MUM,7
Jos Buttler,Wicket Keeper,RJS,8
Rohit Sharma,Batsman,MUM,9
Andre Russell,All-Rounder,KOL,10
Shubman Gill,Batsman,GJT,11
Quinton de Kock,Wicket Keeper,LUK,12
Faf du Plessis,Batsman,BNG,13
Ruturaj Gaikwad,Batsman,CHN,14
Hardik Pandya,All-Rounder,MUM,15
Pat Cummins,Bowler,HYD,16
Jonny Bairstow,Wicket Keeper,PNJ,17
Anrich Nortje,Bowler,DEC,18
Arshdeep Singh,Bowler,PNJ,19
Kane Williamson,Batsman,GJT,20
Ravindra Jadeja,All-Rounder,CHN,21
Cameron Green,All-Rounder,BNG,22
Heinrich Klaasen,Wicket Keeper,HYD,23
Nicholas Pooran,Wicket Keeper,LUK,24
Axar Patel,All-Rounder,DEC,25
Daryl Mitchell,All-Rounder,CHN,26
Kagiso Rabada,Bowler,PNJ,27
Kuldeep Yadav,Bowler,DEC,28
Jason Roy,Batsman,KOL,29
Aiden Markram,Batsman,HYD,30
Mohammed Shami,Bowler,GJT,31
Deepak Chahar,Bowler,CHN,32
Liam Livingstone,All-Rounder,PNJ,33
Mitchell Marsh,All-Rounder,DEC,34
Sam Curran,All-Rounder,PNJ,35
Sanju Samson,Wicket Keeper,RJS,36
Shreyas Iyer,Batsman,KOL,37
Bhuvneshwar Kumar,Bowler,HYD,38
Ishan Kishan,Wicket Keeper,MUM,39
Marcus Stoinis,All-Rounder,LUK,40
Devon Conway,Wicket Keeper,CHN,41
Shikhar Dhawan,Batsman,PNJ,42
Sunil Narine,All-Rounder,KOL,43
Yashasvi Jaiswal,Batsman,RJS,44
Prithvi Shaw,Batsman,DEC,45
Ravi Bishnoi,Bowler,LUK,46
Sai Sudharsan,Batsman,GJT,47
Moeen Ali,All-Rounder,CHN,48
Harshal Patel,Bowler,PNJ,49
Mitchell Starc,Bowler,KOL,50
Nitish Rana,Batsman,KOL,51
Shardul Thakur,Bowler,CHN,52
Trent Boult,Bowler,RJS,53
Yuzvendra Chahal,Bowler,RJS,54
Varun Chakravarthy,Bowler,KOL,55
Tim David,Batsman,MUM,56
Marco Jansen,All-Rounder,HYD,57
David Miller,Batsman,GJT,58
Kyle Mayers,All-Rounder,LUK,59
Rinku Singh,Batsman,KOL,60
Ajinkya Rahane,Batsman,CHN,61
Ashton Turner,Batsman,LUK,62
Avesh Khan,Bowler,RJS,63
Azmatullah Omarzai,All-Rounder,GJT,64
Rishabh Pant,Wicket Keeper,DEC,65
Chris Woakes,All-Rounder,PNJ,66
David Willey,All-Rounder,LUK,67
Deepak Hooda,All-Rounder,LUK,68
Devdutt Padikkal,Batsman,LUK,69
Dinesh Karthik,Wicket Keeper,BNG,70
Harry Brook,Batsman,DEC,71
Jason Behrendorff,Bowler,MUM,72
Jitesh Sharma,Wicket Keeper,PNJ,73
Khaleel Ahmed,Bowler,DEC,74
Krunal Pandya,All-Rounder,LUK,75
Lungi Ngidi,Bowler,DEC,76
Maheesh Theekshana,Bowler,CHN,77
Mayank Agarwal,Batsman,HYD,78
Mohammed Siraj,Bowler,BNG,79
Mohit Sharma,Bowler,GJT,80
Mukesh Kumar,Bowler,DEC,81
Rahmanullah Gurbaz,Wicket Keeper,KOL,82
Rahul Tripathi,Batsman,HYD,83
Ravichandran Ashwin,Bowler,RJS,84
Rilee Rossouw,Batsman,PNJ,85
Romario Shepherd,All-Rounder,MUM,86
Shimron Hetmyer,Batsman,RJS,87
Shivam Dube,All-Rounder,CHN,88
Sikandar Raza,All-Rounder,PNJ,89
Will Jacks,All-Rounder,BNG,90
Travis Head,Batsman,HYD,91
Umesh Yadav,Bowler,GJT,92
Venkatesh Iyer,All-Rounder,KOL,93
Vijay Shankar,All-Rounder,GJT,94
T Natarajan,Bowler,HYD,95
Wriddhiman Saha,Wicket Keeper,GJT,96
Abhishek Sharma,All-Rounder,HYD,97
Dhruv Jurel,Wicket Keeper,RJS,98
Gerald Coetzee,Bowler,MUM,99
Matheesha Pathirana,Bowler,CHN,100
Mayank Markande,Bowler,HYD,101
Navdeep Saini,Bowler,RJS,102
Jayant Yadav,Bowler,GJT,103
Harpreet Singh,Batsman,PNJ,104
Prasidh Krishna,Bowler,RJS,105
Prabhsimran Singh,Wicket Keeper,PNJ,106
Rajat Patidar,Batsman,BNG,107
Sandeep Sharma,Bowler,RJS,108
Tilak Varma,All-Rounder,MUM,109
Washington Sundar,All-Rounder,HYD,110
Noor Ahmad,Bowler,GJT,111
Rahul Chahar,Bowler,PNJ,112
Mohsin Khan,Bowler,LUK,113
Glenn Phillips,All-Rounder,HYD,114
MS Dhoni,Wicket Keeper,CHN,115
Adam Zampa,Bowler,RJS,116
Alzarri Joseph,Bowler,BNG,117
Fazalhaq Farooqi,Bowler,HYD,118
Suyash Sharma,Bowler,KOL,119
Ishant Sharma,Bowler,DEC,120
Jaydev Unadkat,Bowler,HYD,121
Matthew Wade,Wicket Keeper,GJT,122
Lockie Ferguson,Bowler,BNG,123
Mitchell Santner,All-Rounder,CHN,124
Mohammad Nabi,All-Rounder,MUM,125
Mustafizur Rahman,Bowler,CHN,126
Piyush Chawla,Bowler,MUM,127
Rachin Ravindra,All-Rounder,CHN,128
Josh Little,Bowler,GJT,129
Reece Topley,Bowler,BNG,130
Dilshan Madushanka,Bowler,MUM,131
Shai Hope,Wicket Keeper,DEC,132
Tom Curran,All-Rounder,BNG,133
Tom Kohler-Cadmore,Wicket Keeper,RJS,134
Anuj Rawat,Wicket Keeper,BNG,135
Dewald Brevis,Batsman,MUM,136
Rovman Powell,All-Rounder,RJS,137
Atharva Taide,Batsman,PNJ,138
Jhye Richardson,Bowler,DEC,139
Karn Sharma,Bowler,BNG,140
Harpreet Brar,Bowler,PNJ,141
Nehal Wadhera,Batsman,MUM,142
Riyan Parag,All-Rounder,RJS,143
Rahul Tewatia,All-Rounder,GJT,144
Shams Mulani,All-Rounder,MUM,145
Naveen-ul-Haq,Bowler,LUK,146
Shreyas Gopal,All-Rounder,MUM,147
Manish Pandey,Batsman,KOL,148
Tristan Stubbs,Wicket Keeper,DEC,149
Tushar Deshpande,Bowler,CHN,150
Ayush Badoni,Batsman,LUK,151
Nathan Ellis,Bowler,PNJ,152
Sai Kishore,Bowler,GJT,153
Chetan Sakariya,Bowler,KOL,154
Shivam Mavi,Bowler,LUK,155
Srikar Bharat,Wicket Keeper,KOL,156
Rishi Dhawan,All-Rounder,PNJ,157
M Shahrukh Khan,All-Rounder,GJT,158
Amit Mishra,Bowler,LUK,159
Mujeeb Ur Rahman,Bowler,KOL,160
Abdul Samad,Batsman,HYD,161
Sherfane Rutherford,Batsman,KOL,162
Akash Deep,All-Rounder,BNG,163
Krishnappa Gowtham,All-Rounder,LUK,164
Mayank Dagar,Bowler,BNG,165
Anukul Roy,All-Rounder,KOL,166
Donovan Ferreira,All-Rounder,RJS,167
Gus Atkinson,Bowler,KOL,168
Dushmantha Chameera,Bowler,KOL,169
Lalit Yadav,All-Rounder,DEC,170
Mahipal Lomror,All-Rounder,BNG,171
Ricky Bhui,Batsman,DEC,172
Mukesh Choudhary,Bowler,CHN,173
